-557251.685554,-1096845.07999
-536687.506123,-1120509.37896
-510877.006353,-1091267.67657
-534088.205477,-1095356.16184
-515068.593223,-1101720.75152
-510909.849618,-1069612.72114
-557801.796321,-1058545.76887
-557186.471029,-1071493.04064
-534536.280892,-1043570.23473
-548818.887454,-1118750.08855
-517515.577924,-1060185.14008
-518894.733131,-1101739.44631
-512163.639318,-1088483.21287
-558559.176361,-1106987.86789
-559011.94634,-1109065.80385
-557609.630713,-1088597.79489
-531648.843593,-1106698.35014
-517627.677148,-1056618.63696
-530459.440007,-1048759.64073
-551989.108513,-1064576.42772
-535339.168031,-1116541.97709
-554819.717381,-1100011.84089
-554898.974039,-1031147.61737
-520815.461437,-1077147.61781
-557751.505949,-1117400.91384
-549943.309638,-1100936.04246
-543313.608391,-1107716.60417
-548502.365137,-1112675.79822
-544212.312732,-1050868.89393
-531607.66697,-1064395.17168
-526845.965572,-1078908.06824
-550632.043463,-1043981.38979
-548655.382717,-1050334.66652
-552171.394651,-1050532.12739
-557173.173838,-1105940.28278
-532853.897241,-1114321.88736
-532024.067871,-1101779.62182
-541060.667018,-1084501.93773
-526100.706637,-1070774.05652
-523543.083957,-1074188.13509
-534188.677605,-1087067.25378
-538954.845684,-1045665.44563
-554314.533615,-1115716.56079
-549790.759349,-1041345.67676
-514770.276225,-1054248.85867
-528190.134715,-1066187.23306
-554902.278778,-1054869.92993
-558455.713641,-1074909.70694
-555617.570838,-1073115.67092
-544207.542731,-1113976.14224
-530170.230121,-1085016.36202
-519450.265243,-1051028.75655
-516428.005206,-1073241.177
-547491.326354,-1035470.93039
-507191.424326,-1053121.80771
-469738.849571,-1109043.57784
-468607.153292,-1117048.68409
-462676.248694,-1120617.43513
-506569.885076,-1091771.7431
-466989.191727,-1119465.39178
-481397.405648,-1090882.44762
-453724.529413,-1107740.11034
-461761.301621,-1107260.98365
-481048.532852,-1110413.76301
-470041.574228,-1112649.36572
-444732.986837,-1120300.73749
-506254.398098,-1050080.07232
-483532.545658,-1093092.70624
-450925.806003,-1096647.22447
-478056.546852,-1096070.36181
-471425.964981,-1099607.42192
-476737.14798,-1100480.69278
-497881.381129,-1087634.70635
-464573.516053,-1094891.27006
-466941.58339,-1108223.18963
-509716.881453,-1104849.71842
-490652.051625,-1109038.02116
-452961.889728,-1100727.05734
-481339.607536,-1083605.68684
-483601.028251,-1116197.49903
-449244.934936,-1107854.99411
-498414.292755,-1112713.90533
-489702.268664,-1091257.36526
-470334.844448,-1106633.72986
-472371.035042,-1105226.69347
-492984.095462,-1090432.22591
-447080.628349,-1113874.56632
-504478.121241,-1117046.93926
-456850.784421,-1095416.97639
-489171.846289,-1088813.50543
-496358.300088,-1088209.78925
-487348.775012,-1114400.81765
-504888.494157,-1078079.4401
-470582.695055,-1102318.23855
-499393.657722,-1094406.83936
-509430.188932,-1111767.95604
-453655.591228,-1120489.0256
-497233.412516,-1120799.06853
-476343.123791,-1093755.83667
-475994.525327,-1102746.77523
